iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
182,2026-01-04 12:21:34,3,2,11,0.1875,0.125,0.6875,83.1875,50000,0.8868683338165283,0.09970757141709327,0.8619414389133453,986.145501613617
183,2026-01-04 12:38:09,0,2,14,0.0,0.125,0.875,87.625,50000,0.8742639541625976,0.09988475516438484,0.849292767047882,994.6686074733734
184,2026-01-04 12:56:48,0,1,15,0.0,0.0625,0.9375,89.75,50000,0.8692700445652009,0.09731746464967728,0.8449406743049621,1119.557060956955
185,2026-01-04 13:13:27,3,0,13,0.1875,0.0,0.8125,85.25,50000,0.827266263961792,0.09346429705619812,0.8039001822471619,999.1609086990356
186,2026-01-04 13:40:57,0,5,15,0.0,0.25,0.75,77.05,50000,0.835519677400589,0.09210721999406815,0.8124928653240204,1332.9291217327118
187,2026-01-04 13:58:47,2,7,11,0.1,0.35,0.55,65.9,50000,0.8368831038475036,0.09372237995266915,0.8134525120258331,1070.2917318344116
188,2026-01-04 14:19:20,3,3,14,0.15,0.15,0.7,75.95,50000,0.8491367399692535,0.09148682281374931,0.826265025138855,1233.5322358608246
189,2026-01-04 14:34:02,7,2,11,0.35,0.1,0.55,70.2,50000,0.8669409811496734,0.09479520246386527,0.8432421863079071,882.010359287262
190,2026-01-04 14:50:12,8,0,12,0.4,0.0,0.6,69.65,50000,0.8483116924762726,0.0933925375342369,0.8249635577201844,969.5273852348328
191,2026-01-04 15:11:18,0,7,13,0.0,0.35,0.65,77.35,50000,0.8583623111248017,0.09813743904232979,0.8338279545307159,1262.3062579631805
192,2026-01-04 15:31:58,3,5,12,0.15,0.25,0.6,75.6,50000,0.8584596037864685,0.09366816654801369,0.8350425660610199,1240.104561328888
193,2026-01-04 15:50:06,3,2,15,0.15,0.1,0.75,77.35,50000,0.8663641512393951,0.10136188119649887,0.8410236835479736,1087.8864064216614
194,2026-01-04 16:04:58,1,8,11,0.05,0.4,0.55,65.25,50000,0.8748558640480042,0.09760620296001435,0.8504543125629425,891.537449836731
195,2026-01-04 16:22:23,2,4,14,0.1,0.2,0.7,74.7,50000,0.9195097863674164,0.10850226730108262,0.8923842132091522,1045.5285875797272
196,2026-01-04 16:44:58,0,1,19,0.0,0.05,0.95,89.35,50000,0.8430159866809845,0.09997265115380287,0.8180228233337402,1349.5811123847961
197,2026-01-04 17:06:02,1,5,14,0.05,0.25,0.7,78.6,50000,0.8978913605213166,0.09931805357336998,0.8730618536472321,1264.202356338501
198,2026-01-04 17:19:12,4,7,9,0.2,0.35,0.45,62.4,50000,0.882861751317978,0.10227208137512207,0.8572937369346618,789.6230931282043
199,2026-01-04 17:40:04,1,6,13,0.05,0.3,0.65,76.1,50000,0.8647423028945923,0.11041807159781455,0.8371377825737,1251.5124328136444
200,2026-01-04 17:59:05,5,1,14,0.25,0.05,0.7,78.0,50000,0.9046777069568634,0.09582094252109527,0.8807224690914154,1141.1093685626984
201,2026-01-05 22:24:32,0,0,16,0.0,0.0,1.0,94.6875,50000,0.8667369246482849,0.0973832756280899,0.8423911094665527,1902.210658788681
202,2026-01-05 22:57:36,0,0,16,0.0,0.0,1.0,95.5625,50000,0.8784132063388824,0.09978495836257935,0.8534669637680053,1984.2585234642029
203,2026-01-05 23:26:39,1,2,13,0.0625,0.125,0.8125,83.25,50000,0.8524486422538757,0.09989389330148697,0.8274751603603363,1742.6502146720886
204,2026-01-06 00:12:34,1,0,15,0.0625,0.0,0.9375,86.4375,50000,0.8352514326572418,0.0931225873529911,0.8119707942008972,2061.710557460785
205,2026-01-06 00:49:23,0,0,16,0.0,0.0,1.0,93.0,50000,0.8767525792121887,0.09977032765746116,0.8518099963665009,2209.6128437519073
206,2026-01-06 10:33:29,0,2,14,0.0,0.125,0.875,86.4375,50000,0.8306333959102631,0.09060286208987237,0.8079826831817627,1670.5643498897552
207,2026-01-06 12:57:55,1,0,15,0.0625,0.0,0.9375,90.625,50000,0.8356042504310608,0.08689270988106727,0.8138810813426971,1853.1975057125092
208,2026-01-06 13:29:53,1,0,15,0.0625,0.0,0.9375,90.6875,50000,0.8027239203453064,0.0790002066642046,0.7829738795757294,1917.6117489337921
209,2026-01-06 14:03:24,1,2,13,0.0625,0.125,0.8125,83.875,50000,0.8111106038093567,0.08536354340612888,0.7897697210311889,2011.0459280014038
210,2026-01-06 14:37:15,1,1,14,0.0625,0.0625,0.875,89.3125,50000,0.7671216130256653,0.08272600993514061,0.7464401125907898,2031.24094581604
211,2026-01-06 15:06:09,1,1,14,0.0625,0.0625,0.875,89.125,50000,0.7933642625808716,0.08489950597286225,0.7721393823623657,1730.6871678829193
212,2026-01-06 15:35:22,1,0,15,0.0625,0.0,0.9375,89.625,50000,0.7833383440971374,0.08249125480651856,0.7627155303955078,1752.5797872543335
213,2026-01-06 16:06:12,1,0,15,0.0625,0.0,0.9375,91.0,50000,0.7843194305896759,0.08023131713271141,0.7642615973949433,1849.7751984596252
214,2026-01-06 17:34:10,1,0,15,0.0625,0.0,0.9375,90.4375,50000,0.7924369692802429,0.0851270392537117,0.771155196428299,2003.7725412845612
215,2026-01-06 18:04:31,0,1,15,0.0,0.0625,0.9375,92.5625,50000,0.813870757818222,0.07189602851867676,0.7958967387676239,1821.5128598213196
216,2026-01-06 18:35:26,0,1,15,0.0,0.0625,0.9375,92.375,50000,0.7963901937007904,0.08565071895718575,0.7749775052070618,1850.6691854000092
217,2026-01-06 19:06:07,0,0,16,0.0,0.0,1.0,95.0625,50000,0.7380838930606842,0.07145061306655406,0.7202212393283844,1840.6269562244415
218,2026-01-06 19:35:19,1,0,15,0.0625,0.0,0.9375,88.0,50000,0.7661325812339783,0.08510101139545441,0.7448573231697082,1752.6093883514404
219,2026-01-06 20:04:35,0,0,16,0.0,0.0,1.0,93.9375,50000,0.7762186884880066,0.0761109471321106,0.7571909546852111,1756.1026456356049
220,2026-01-06 20:34:41,1,1,14,0.0625,0.0625,0.875,90.125,50000,0.7540858507156372,0.07578018270432949,0.7351408064365387,1805.3491134643555
221,2026-01-06 21:06:14,1,0,15,0.0625,0.0,0.9375,92.0625,50000,0.7578805267810822,0.0747782338410616,0.7391859710216522,1890.143385887146
222,2026-01-06 21:35:20,1,2,13,0.0625,0.125,0.8125,86.5,50000,0.7538672387599945,0.07788987755775452,0.7343947649002075,1745.825362920761
223,2026-01-06 22:07:48,0,0,16,0.0,0.0,1.0,94.0,50000,0.7303566217422486,0.06796806938946247,0.7133646011352539,1948.1679904460907
224,2026-01-06 22:38:23,0,1,15,0.0,0.0625,0.9375,91.625,50000,0.7213881313800812,0.06123245134949684,0.7060800194740295,1834.5124108791351
225,2026-01-06 23:06:25,1,1,14,0.0625,0.0625,0.875,86.125,50000,0.7163393914699554,0.06957277022302151,0.6989462018013001,1682.2015099525452
226,2026-01-06 23:39:30,0,0,16,0.0,0.0,1.0,93.25,50000,0.7205410957336426,0.07026339732110501,0.7029752433300018,1980.7075679302216
227,2026-01-07 09:07:29,1,2,13,0.0625,0.125,0.8125,83.625,50000,0.7455229818820953,0.07420284897089005,0.7269722700119019,1726.0011694431305
228,2026-01-07 09:38:10,0,0,16,0.0,0.0,1.0,92.6875,50000,0.716831910610199,0.07386449277400971,0.6983657836914062,1840.9518685340881
229,2026-01-07 10:05:44,0,2,14,0.0,0.125,0.875,84.125,50000,0.7343316674232483,0.06627031080424786,0.7177640795707703,1654.4913527965546
