iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
49,2026-01-03 06:00:50,1,1,18,0.05,0.05,0.9,106.1,75000,0.5918033957481384,0.07173456512391567,0.5738697588443756,198.01655411720276
50,2026-01-03 06:04:06,1,5,14,0.05,0.25,0.7,95.05,75000,0.5739894688129425,0.06680670492351055,0.5572877943515777,195.81733059883118
51,2026-01-03 06:07:18,1,2,17,0.05,0.1,0.85,106.5,75000,0.5615055143833161,0.07292597331106662,0.5432740092277527,186.75312328338623
52,2026-01-03 06:10:48,1,1,18,0.05,0.05,0.9,112.8,75000,0.6020848661661148,0.06609183512628078,0.5855619013309479,210.11054372787476
53,2026-01-03 06:14:53,1,1,18,0.05,0.05,0.9,115.0,75000,0.5790844917297363,0.05965063981711864,0.564171826839447,245.10889720916748
54,2026-01-03 06:18:34,2,1,17,0.1,0.05,0.85,107.9,75000,0.5727931499481201,0.0720743838697672,0.5547745585441589,221.0899622440338
55,2026-01-03 06:22:23,0,2,18,0.0,0.1,0.9,116.25,75000,0.5612959384918212,0.05897394977509975,0.5465524464845657,228.2399866580963
56,2026-01-03 06:26:20,1,1,18,0.05,0.05,0.9,112.55,75000,0.5686376512050628,0.0642239835113287,0.552581661939621,231.94903135299683
57,2026-01-03 06:29:39,5,3,12,0.25,0.15,0.6,90.95,75000,0.5761154115200042,0.07263032309710979,0.5579578340053558,198.4177746772766
58,2026-01-03 06:32:56,3,1,16,0.15,0.05,0.8,102.0,75000,0.5656603276729584,0.06593907475471497,0.5491755694150925,196.80770921707153
59,2026-01-03 06:36:44,1,5,14,0.05,0.25,0.7,102.6,75000,0.5804564267396927,0.06134239435195923,0.5651208341121674,228.7011992931366
60,2026-01-03 06:40:27,3,1,16,0.15,0.05,0.8,105.4,75000,0.5764561265707016,0.06286868751049042,0.5607389509677887,222.25403761863708
61,2026-01-03 06:43:58,3,2,15,0.15,0.1,0.75,98.5,75000,0.5280139178037644,0.05733058750629425,0.5136812716722489,205.6273844242096
62,2026-01-03 06:47:53,2,2,16,0.1,0.1,0.8,107.5,75000,0.5431108981370926,0.05833659172058105,0.5285267531871796,235.19570183753967
63,2026-01-03 06:51:39,2,2,16,0.1,0.1,0.8,107.15,75000,0.5866999953985215,0.06324880570173264,0.5708878010511398,225.88241577148438
64,2026-01-03 06:56:31,0,3,17,0.0,0.15,0.85,112.75,75000,0.498095378279686,0.05307742804288864,0.4848260164260864,291.59391832351685
65,2026-01-03 07:00:20,0,2,18,0.0,0.1,0.9,113.0,75000,0.5511936783790589,0.06460427679121494,0.5350426077842713,229.50446200370789
66,2026-01-03 07:04:06,1,0,19,0.05,0.0,0.95,122.2,75000,0.5660852015018463,0.056484450772404673,0.5519640952348709,220.57215070724487
67,2026-01-03 07:07:57,2,2,16,0.1,0.1,0.8,108.45,75000,0.5428045839071274,0.05433420278131962,0.5292210280895233,230.2747197151184
68,2026-01-03 07:11:58,1,4,15,0.05,0.2,0.75,105.5,75000,0.5192977964878083,0.0565965574234724,0.5051486551761627,241.5760681629181
69,2026-01-03 07:15:15,1,2,17,0.05,0.1,0.85,110.45,75000,0.5395062208175659,0.05093783847987652,0.5267717629671097,197.02939867973328
70,2026-01-03 07:18:47,0,4,16,0.0,0.2,0.8,109.95,75000,0.5111335337162017,0.05921201482415199,0.49633052945137024,211.4370141029358
71,2026-01-03 07:22:48,1,2,17,0.05,0.1,0.85,109.95,75000,0.5496420800685883,0.057512345537543294,0.5352640002965927,235.00584745407104
72,2026-01-03 07:26:00,2,3,15,0.1,0.15,0.75,102.35,75000,0.5295936852693558,0.05643890686333179,0.5154839664697647,192.18676805496216
73,2026-01-03 07:29:57,0,2,18,0.0,0.1,0.9,115.5,75000,0.49270488023757936,0.05780946873128414,0.478252512216568,237.30669832229614
