config_name,mcts_simulations,env_max_moves,no_progress_plies,draw_penalty,mcts_draw_value,iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,move_mapping_failures,total_loss,value_loss,policy_loss,buffer_size,elapsed_time_s
standard,300,200,80,-0.1,-0.1,12,2025-12-31 05:32:16,1,3,8,0.08333333333333333,0.25,0.6666666666666666,120.25,0,0.5369277954101562,0.11365318074822425,0.5198798149824142,16739,546.5152776241302
standard,300,200,80,-0.1,-0.1,13,2025-12-31 05:43:30,0,1,11,0.0,0.08333333333333333,0.9166666666666666,133.66666666666666,0,0.49197826385498045,0.09896394237875938,0.47713366746902464,18343,674.1412806510925
standard,300,200,80,-0.1,-0.1,14,2025-12-31 05:53:29,0,2,10,0.0,0.16666666666666666,0.8333333333333334,132.66666666666666,0,0.5072400391101837,0.0944852814078331,0.49306724071502683,19935,598.9684209823608
standard,300,200,80,-0.1,-0.1,15,2025-12-31 06:03:01,0,3,9,0.0,0.25,0.75,116.25,0,0.5039448052644729,0.0991032175719738,0.4890793293714523,21330,571.9143536090851
standard,300,200,80,-0.1,-0.1,16,2025-12-31 06:12:58,2,3,7,0.16666666666666666,0.25,0.5833333333333334,113.41666666666667,0,0.5252131313085556,0.09711486548185348,0.5106458991765976,22691,595.6506872177124
standard,300,200,80,-0.1,-0.1,17,2025-12-31 06:19:59,1,5,6,0.08333333333333333,0.4166666666666667,0.5,98.75,0,0.47464022040367126,0.09577747285366059,0.4602735906839371,23876,420.32159447669983
standard,300,200,80,-0.1,-0.1,18,2025-12-31 06:28:27,4,1,7,0.3333333333333333,0.08333333333333333,0.5833333333333334,113.75,0,0.5076384872198105,0.10950870960950851,0.49121218323707583,25241,508.67556953430176
standard,300,200,80,-0.1,-0.1,19,2025-12-31 06:39:13,2,0,10,0.16666666666666666,0.0,0.8333333333333334,131.16666666666666,0,0.4874408930540085,0.09904351383447647,0.4725843608379364,26815,645.7032313346863
standard,300,200,80,-0.1,-0.1,20,2025-12-31 06:48:53,1,2,9,0.08333333333333333,0.16666666666666666,0.75,125.08333333333333,0,0.4775491148233414,0.0897820845246315,0.464081797003746,28316,579.6158931255341
standard,300,200,80,-0.1,-0.1,21,2025-12-31 06:58:27,3,1,8,0.25,0.08333333333333333,0.6666666666666666,126.41666666666667,0,0.48846395611763,0.09493976607918739,0.47422299087047576,29833,571.9023988246918
standard,300,200,80,-0.1,-0.1,22,2025-12-31 07:06:14,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,97.66666666666667,0,0.4720958471298218,0.0962275043129921,0.4576617211103439,31005,466.9303605556488
standard,300,200,80,-0.1,-0.1,23,2025-12-31 07:15:06,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,102.91666666666667,0,0.4869087040424347,0.09285736978054046,0.4729800969362259,32240,532.8239512443542
standard,300,200,80,-0.1,-0.1,24,2025-12-31 07:26:23,0,2,10,0.0,0.16666666666666666,0.8333333333333334,122.16666666666667,0,0.47330118119716647,0.0946653001010418,0.45910138785839083,33706,676.5758378505707
standard,300,200,80,-0.1,-0.1,25,2025-12-31 07:35:19,3,2,7,0.25,0.16666666666666666,0.5833333333333334,112.0,0,0.4700841844081879,0.09375179931521416,0.45602141618728637,35050,535.8499977588654
standard,300,200,80,-0.1,-0.1,26,2025-12-31 07:44:28,0,3,9,0.0,0.25,0.75,117.25,0,0.44942839741706847,0.08923005536198617,0.4360438883304596,36457,545.9630217552185
standard,300,200,80,-0.1,-0.1,27,2025-12-31 07:54:13,2,2,8,0.16666666666666666,0.16666666666666666,0.6666666666666666,114.66666666666667,0,0.47827671766281127,0.08774595782160759,0.465114825963974,37833,585.517082452774
standard,300,200,80,-0.1,-0.1,28,2025-12-31 08:05:26,3,1,8,0.25,0.08333333333333333,0.6666666666666666,117.66666666666667,0,0.463604199886322,0.08832900077104569,0.45035484433174133,39245,672.6954109668732
standard,300,200,80,-0.1,-0.1,29,2025-12-31 08:16:01,1,2,9,0.08333333333333333,0.16666666666666666,0.75,118.91666666666667,0,0.4408739894628525,0.0926882691681385,0.4269707500934601,40672,635.1853456497192
standard,300,200,80,-0.1,-0.1,30,2025-12-31 08:25:15,2,1,9,0.16666666666666666,0.08333333333333333,0.75,113.25,0,0.47870912253856657,0.08931035250425338,0.46531257331371306,42031,554.0347001552582
standard,300,200,80,-0.1,-0.1,31,2025-12-31 08:34:06,2,2,8,0.16666666666666666,0.16666666666666666,0.6666666666666666,105.08333333333333,0,0.4570781499147415,0.08516051918268204,0.4443040698766708,43292,527.8786308765411
standard,300,200,80,-0.1,-0.1,32,2025-12-31 08:46:03,1,0,11,0.08333333333333333,0.0,0.9166666666666666,136.5,0,0.45936650931835177,0.08830223828554154,0.4461211711168289,44930,717.1431441307068
standard,300,200,80,-0.1,-0.1,33,2025-12-31 08:51:33,3,5,4,0.25,0.4166666666666667,0.3333333333333333,75.58333333333333,0,0.4492093652486801,0.09275035411119462,0.4352968156337738,45837,329.56070160865784
standard,300,200,80,-0.1,-0.1,34,2025-12-31 09:03:04,1,1,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,131.41666666666666,0,0.46133493185043334,0.09257653802633285,0.44744845032691954,47414,690.623786687851
standard,300,200,80,-0.1,-0.1,35,2025-12-31 09:12:21,4,0,8,0.3333333333333333,0.0,0.6666666666666666,109.08333333333333,0,0.4820477694272995,0.09221322536468506,0.4682157814502716,48723,557.265695810318
standard,300,200,80,-0.1,-0.1,36,2025-12-31 09:23:31,0,1,11,0.0,0.08333333333333333,0.9166666666666666,135.5,0,0.47352038621902465,0.0847182959318161,0.46081264317035675,50000,666.4477314949036
standard,300,200,80,-0.1,-0.1,37,2025-12-31 09:34:19,3,0,9,0.25,0.0,0.75,119.91666666666667,0,0.4365981489419937,0.08560147956013679,0.4237579256296158,50000,648.2098431587219
standard,300,200,80,-0.1,-0.1,38,2025-12-31 09:45:51,1,1,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,127.08333333333333,0,0.4555120885372162,0.0864820048213005,0.44253979027271273,50000,691.6911108493805
standard,300,200,80,-0.1,-0.1,39,2025-12-31 09:57:21,2,0,10,0.16666666666666666,0.0,0.8333333333333334,122.58333333333333,0,0.4877132475376129,0.0829956702888012,0.4752638965845108,50000,690.4192717075348
standard,300,200,80,-0.1,-0.1,40,2025-12-31 10:09:43,0,1,11,0.0,0.08333333333333333,0.9166666666666666,146.66666666666666,0,0.43881804049015044,0.08203059807419777,0.4265134483575821,50000,741.2072196006775
