Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
940,Blk (P2),Random,WIN ,0.9910,72,46.0,42.0,64.0,0.00142,0.3342,5.00e-06,0.00,0.00
950,Blk (P2),Random,WIN ,0.8640,193,46.0,43.0,63.0,0.00142,0.3335,5.00e-06,3.62,1.33
960,Blk (P2),Self-Play,WIN ,1.0170,47,46.0,41.0,64.0,0.00162,0.3328,5.00e-06,0.00,0.00
970,Red (P1),Pool: gen8_mirror.pth,WIN ,0.9910,73,46.0,42.0,65.0,0.00147,0.3321,5.00e-06,0.00,0.00
980,Blk (P2),Self-Play,LOSS,-0.0210,42,47.0,44.0,65.0,0.00162,0.3314,5.00e-06,0.00,0.00
990,Red (P1),Random,LOSS,-0.1690,232,47.0,46.0,67.0,0.00185,0.3307,5.00e-06,0.00,0.00
1000,Blk (P2),Pool: gen9_champion.pth,WIN ,1.0120,31,45.0,50.0,69.0,0.00176,0.3300,2.00e-06,3.90,1.38
1010,Red (P1),Random,WIN ,0.9940,77,47.0,51.0,69.0,0.00172,0.3293,2.00e-06,0.00,0.00
1020,Red (P1),Random,WIN ,0.9670,97,47.0,50.0,68.0,0.00202,0.3286,2.00e-06,0.00,0.00
1030,Blk (P2),Random,WIN ,1.0210,43,45.0,49.0,68.0,0.00219,0.3279,2.00e-06,0.00,0.00
1040,Blk (P2),Pool: gen9_champion.pth,LOSS,-0.0230,44,47.0,47.0,70.0,0.00223,0.3272,2.00e-06,0.00,0.00
1050,Blk (P2),Pool: gen8_titan.pth,WIN ,1.0220,49,47.0,46.0,71.0,0.00246,0.3265,2.00e-06,5.24,1.95
1060,Red (P1),Random,WIN ,0.9680,103,46.0,48.0,72.0,0.00245,0.3258,2.00e-06,0.00,0.00
1070,Red (P1),Self-Play,LOSS,-0.0240,52,43.0,47.0,72.0,0.00275,0.3251,2.00e-06,0.00,0.00
1080,Red (P1),Pool: gen9_titan.pth,LOSS,-0.0780,134,45.0,47.0,73.0,0.00289,0.3244,2.00e-06,0.00,0.00
1090,Blk (P2),Self-Play,LOSS,-0.1180,160,45.0,49.0,72.0,0.00299,0.3237,2.00e-06,0.00,0.00
1100,Red (P1),Self-Play,WIN ,1.0140,43,44.0,50.0,74.0,0.00290,0.3230,2.00e-06,5.65,2.04
1110,Red (P1),Random,WIN ,1.0080,62,44.0,51.0,75.0,0.00313,0.3223,2.00e-06,0.00,0.00
1120,Blk (P2),Self-Play,LOSS,-0.0430,64,42.0,51.0,74.0,0.00335,0.3216,2.00e-06,0.00,0.00
1130,Red (P1),Random,WIN ,1.0170,47,41.0,50.0,74.0,0.00382,0.3209,2.00e-06,0.00,0.00
1140,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0330,40,41.0,50.0,75.0,0.00356,0.3202,2.00e-06,0.00,0.00
1150,Blk (P2),Random,WIN ,0.9740,97,39.0,50.0,75.0,0.00360,0.3195,2.00e-06,6.02,2.14
1160,Red (P1),Random,WIN ,1.0310,47,37.0,52.0,75.0,0.00413,0.3188,2.00e-06,0.00,0.00
1170,Blk (P2),Random,LOSS,-0.0130,35,37.0,54.0,77.0,0.00433,0.3181,2.00e-06,0.00,0.00
1180,Red (P1),Self-Play,LOSS,-0.0340,48,35.0,55.0,76.0,0.00421,0.3174,2.00e-06,0.00,0.00
1190,Blk (P2),Random,LOSS,-0.0120,54,37.0,53.0,74.0,0.00424,0.3167,2.00e-06,0.00,0.00
1200,Red (P1),Random,WIN ,0.9320,125,38.0,52.0,75.0,0.00453,0.3160,2.00e-06,6.37,2.20
1210,Red (P1),Pool: gen8_titan.pth,WIN ,1.0230,40,41.0,48.0,76.0,0.00520,0.3153,2.00e-06,0.00,0.00
